 TEXTURE FOR PHASE  1  AT VM STRAIN     0.500
 -155.29   71.36   -7.88        0.0000596
  -73.83   60.79   71.59        0.0002790
    0.22   45.73   43.18        0.0000352
 -113.27   56.28   76.61        0.0003443
 -107.19   69.07   60.28        0.0000444
   85.51   67.61   69.04        0.0000136
   47.26   44.32   57.06        0.0001161
   81.98   55.48   14.61        0.0000201
   58.13   80.04   76.34        0.0000438
   91.91   61.14   84.21        0.0000216
  -94.74   29.31   82.99        0.0002816
 -167.80   48.08   59.61        0.0000169
 -145.73   75.53   65.77        0.0001570
  102.70   74.79   79.52        0.0000467
 -147.82   10.71   81.15        0.0000444
  142.76   82.97    7.19        0.0000760
   76.91   67.75   62.19        0.0000079
 -169.58   76.49   71.27        0.0000368
  119.95   90.05   89.83        0.0000254
  -51.32   66.50   36.84        0.0001619
  -91.01   62.50   40.69        0.0005266
 -143.19   68.47   75.57        0.0001227
   51.22    5.83   11.78        0.0000709
   43.86   23.13   32.15        0.0000623
   70.10   76.66   67.41        0.0000422
   -1.18   89.47   44.53        0.0000260
   94.19   29.11   -1.54        0.0000310
  -78.18   72.96   54.58        0.0000262
  114.91   22.09   67.53        0.0000201
  -10.34    9.04  -27.48        0.0000481
  132.53   87.26   91.64        0.0000262
  -30.11   80.04    8.73        0.0000271
  162.18   29.18  -10.01        0.0002991
   -2.69   61.99   74.32        0.0000333
   -1.52   34.60   47.58        0.0000065
 -152.31   21.29   88.74        0.0002117
 -112.77   70.08   67.70        0.0001547
  -60.38   80.72   17.73        0.0000300
  145.76   52.80   18.33        0.0000495
 -118.24   70.55   56.89        0.0000213
  -11.03   67.02   25.98        0.0000126
  -44.15   53.53   29.41        0.0001032
   62.84   95.16   14.25        0.0000342
   85.25   60.67    3.72        0.0000358
   81.27   75.28   83.12        0.0000436
  111.80   77.14   45.09        0.0001004
 -105.67   42.12   17.88        0.0000238
 -168.09   57.52   61.29        0.0000123
  -52.04   27.43   57.63        0.0000235
 -144.05   70.80   78.52        0.0002015
   51.56   85.19    0.81        0.0001775
 -114.96   80.82   33.76        0.0002776
   56.55   58.99   55.60        0.0000408
   87.17   72.16   63.04        0.0000377
  -59.13   83.19    8.79        0.0000205
   81.79    1.47   45.59        0.0001847
  177.51   84.44   26.57        0.0000182
  175.61   78.62   60.38        0.0001400
  171.00   41.52   40.27        0.0002495
  125.50   44.82   45.62        0.0000122
  153.33   52.41   24.32        0.0000086
  150.61   67.66   13.05        0.0000229
  134.21   71.19   17.95        0.0000078
  140.38   79.61    8.39        0.0000199
  -36.53   63.47   17.60        0.0001001
  140.52   85.39    4.08        0.0000447
   85.46   63.69   49.05        0.0000262
   60.49   68.80   61.85        0.0000095
   35.76   62.74   70.36        0.0000110
  147.11   82.45   89.72        0.0001243
   -1.41   66.93   52.71        0.0000391
  -99.52   60.40    8.22        0.0001528
  109.40   73.38   73.97        0.0003404
   83.88   58.41   21.68        0.0000184
  -66.64   82.71    2.72        0.0000357
   63.80   83.08   75.56        0.0000584
  -28.36   67.90   14.84        0.0000429
   22.49   22.82  105.76        0.0004736
  115.42   78.22   13.89        0.0000277
   98.76   68.67   49.62        0.0000316
  179.79   25.24   48.90        0.0000481
   -9.69   26.29   52.44        0.0000918
   89.05    2.78   52.97        0.0004818
   62.82   20.46   34.38        0.0000406
 -152.40   93.84   11.41        0.0002945
  -71.01   65.36   47.57        0.0000133
   -0.64   47.73   28.44        0.0000576
  115.07   56.21   46.40        0.0000144
   22.48   79.05   74.03        0.0000890
 -179.41   88.23   81.81        0.0000414
    5.39   41.18   58.65        0.0000077
